GameID,Date,Team,Points,Home/Away,Win
1,"Tue, Oct 27, 2015",Cleveland Cavaliers,95,Away,0
1,"Tue, Oct 27, 2015",Chicago Bulls,97,Home,1
2,"Tue, Oct 27, 2015",Detroit Pistons,106,Away,1
2,"Tue, Oct 27, 2015",Atlanta Hawks,94,Home,0
3,"Tue, Oct 27, 2015",New Orleans Pelicans,95,Away,0
3,"Tue, Oct 27, 2015",Golden State Warriors,111,Home,1
4,"Wed, Oct 28, 2015",Washington Wizards,88,Away,1
4,"Wed, Oct 28, 2015",Orlando Magic,87,Home,0
5,"Wed, Oct 28, 2015",Philadelphia 76ers,95,Away,0
5,"Wed, Oct 28, 2015",Boston Celtics,112,Home,1
6,"Wed, Oct 28, 2015",Chicago Bulls,115,Away,1
6,"Wed, Oct 28, 2015",Brooklyn Nets,100,Home,0
7,"Wed, Oct 28, 2015",Utah Jazz,87,Away,0
7,"Wed, Oct 28, 2015",Detroit Pistons,92,Home,1
8,"Wed, Oct 28, 2015",Indiana Pacers,99,Away,0
8,"Wed, Oct 28, 2015",Toronto Raptors,106,Home,1
9,"Wed, Oct 28, 2015",Charlotte Hornets,94,Away,0
9,"Wed, Oct 28, 2015",Miami Heat,104,Home,1
10,"Wed, Oct 28, 2015",New York Knicks,122,Away,1
10,"Wed, Oct 28, 2015",Milwaukee Bucks,97,Home,0
11,"Wed, Oct 28, 2015",San Antonio Spurs,106,Away,0
11,"Wed, Oct 28, 2015",Oklahoma City Thunder,112,Home,1
12,"Wed, Oct 28, 2015",Cleveland Cavaliers,106,Away,1
12,"Wed, Oct 28, 2015",Memphis Grizzlies,76,Home,0
13,"Wed, Oct 28, 2015",Denver Nuggets,105,Away,1
13,"Wed, Oct 28, 2015",Houston Rockets,85,Home,0
14,"Wed, Oct 28, 2015",Dallas Mavericks,111,Away,1
14,"Wed, Oct 28, 2015",Phoenix Suns,95,Home,0
15,"Wed, Oct 28, 2015",New Orleans Pelicans,94,Away,0
15,"Wed, Oct 28, 2015",Portland Trail Blazers,112,Home,1
16,"Wed, Oct 28, 2015",Los Angeles Clippers,111,Away,1
16,"Wed, Oct 28, 2015",Sacramento Kings,104,Home,0
17,"Wed, Oct 28, 2015",Minnesota Timberwolves,112,Away,1
17,"Wed, Oct 28, 2015",Los Angeles Lakers,111,Home,0
18,"Thu, Oct 29, 2015",Memphis Grizzlies,112,Away,1
18,"Thu, Oct 29, 2015",Indiana Pacers,103,Home,0
19,"Thu, Oct 29, 2015",Atlanta Hawks,112,Away,1
19,"Thu, Oct 29, 2015",New York Knicks,101,Home,0
20,"Thu, Oct 29, 2015",Dallas Mavericks,88,Away,0
20,"Thu, Oct 29, 2015",Los Angeles Clippers,104,Home,1
21,"Fri, Oct 30, 2015",Miami Heat,92,Away,0
21,"Fri, Oct 30, 2015",Cleveland Cavaliers,102,Home,1
22,"Fri, Oct 30, 2015",Utah Jazz,99,Away,1
22,"Fri, Oct 30, 2015",Philadelphia 76ers,71,Home,0
23,"Fri, Oct 30, 2015",Oklahoma City Thunder,139,Away,1
23,"Fri, Oct 30, 2015",Orlando Magic,136,Home,0
24,"Fri, Oct 30, 2015",Toronto Raptors,113,Away,1
24,"Fri, Oct 30, 2015",Boston Celtics,103,Home,0
25,"Fri, Oct 30, 2015",Chicago Bulls,94,Away,0
25,"Fri, Oct 30, 2015",Detroit Pistons,98,Home,1
26,"Fri, Oct 30, 2015",Charlotte Hornets,94,Away,0
26,"Fri, Oct 30, 2015",Atlanta Hawks,97,Home,1
27,"Fri, Oct 30, 2015",Washington Wizards,118,Away,1
27,"Fri, Oct 30, 2015",Milwaukee Bucks,113,Home,0
28,"Fri, Oct 30, 2015",Brooklyn Nets,75,Away,0
28,"Fri, Oct 30, 2015",San Antonio Spurs,102,Home,1
29,"Fri, Oct 30, 2015",Minnesota Timberwolves,95,Away,1
29,"Fri, Oct 30, 2015",Denver Nuggets,78,Home,0
30,"Fri, Oct 30, 2015",Golden State Warriors,112,Away,1
30,"Fri, Oct 30, 2015",Houston Rockets,92,Home,0
31,"Fri, Oct 30, 2015",Los Angeles Lakers,114,Away,0
31,"Fri, Oct 30, 2015",Sacramento Kings,132,Home,1
32,"Fri, Oct 30, 2015",Portland Trail Blazers,92,Away,0
32,"Fri, Oct 30, 2015",Phoenix Suns,110,Home,1
33,"Sat, Oct 31, 2015",Utah Jazz,97,Away,1
33,"Sat, Oct 31, 2015",Indiana Pacers,76,Home,0
34,"Sat, Oct 31, 2015",New York Knicks,117,Away,1
34,"Sat, Oct 31, 2015",Washington Wizards,110,Home,0
35,"Sat, Oct 31, 2015",Golden State Warriors,134,Away,1
35,"Sat, Oct 31, 2015",New Orleans Pelicans,120,Home,0
36,"Sat, Oct 31, 2015",Brooklyn Nets,91,Away,0
36,"Sat, Oct 31, 2015",Memphis Grizzlies,101,Home,1
37,"Sat, Oct 31, 2015",Phoenix Suns,101,Away,1
37,"Sat, Oct 31, 2015",Portland Trail Blazers,90,Home,0
38,"Sat, Oct 31, 2015",Sacramento Kings,109,Away,0
38,"Sat, Oct 31, 2015",Los Angeles Clippers,114,Home,1
39,"Sun, Nov 1, 2015",Atlanta Hawks,94,Away,1
39,"Sun, Nov 1, 2015",Charlotte Hornets,92,Home,0
40,"Sun, Nov 1, 2015",San Antonio Spurs,95,Away,1
40,"Sun, Nov 1, 2015",Boston Celtics,87,Home,0
41,"Sun, Nov 1, 2015",Houston Rockets,89,Away,0
41,"Sun, Nov 1, 2015",Miami Heat,109,Home,1
42,"Sun, Nov 1, 2015",Milwaukee Bucks,87,Away,0
42,"Sun, Nov 1, 2015",Toronto Raptors,106,Home,1
43,"Sun, Nov 1, 2015",Orlando Magic,87,Away,0
43,"Sun, Nov 1, 2015",Chicago Bulls,92,Home,1
44,"Sun, Nov 1, 2015",Denver Nuggets,93,Away,0
44,"Sun, Nov 1, 2015",Oklahoma City Thunder,117,Home,1
45,"Sun, Nov 1, 2015",Dallas Mavericks,103,Away,1
45,"Sun, Nov 1, 2015",Los Angeles Lakers,93,Home,0
46,"Mon, Nov 2, 2015",Cleveland Cavaliers,107,Away,1
46,"Mon, Nov 2, 2015",Philadelphia 76ers,100,Home,0
47,"Mon, Nov 2, 2015",Milwaukee Bucks,103,Away,1
47,"Mon, Nov 2, 2015",Brooklyn Nets,96,Home,0
48,"Mon, Nov 2, 2015",San Antonio Spurs,94,Away,1
48,"Mon, Nov 2, 2015",New York Knicks,84,Home,0
49,"Mon, Nov 2, 2015",Oklahoma City Thunder,105,Away,0
49,"Mon, Nov 2, 2015",Houston Rockets,110,Home,1
50,"Mon, Nov 2, 2015",Portland Trail Blazers,106,Away,1
50,"Mon, Nov 2, 2015",Minnesota Timberwolves,101,Home,0
51,"Mon, Nov 2, 2015",Memphis Grizzlies,69,Away,0
51,"Mon, Nov 2, 2015",Golden State Warriors,119,Home,1
52,"Mon, Nov 2, 2015",Phoenix Suns,96,Away,0
52,"Mon, Nov 2, 2015",Los Angeles Clippers,102,Home,1
53,"Tue, Nov 3, 2015",Chicago Bulls,105,Away,0
53,"Tue, Nov 3, 2015",Charlotte Hornets,130,Home,1
54,"Tue, Nov 3, 2015",Indiana Pacers,94,Away,1
54,"Tue, Nov 3, 2015",Detroit Pistons,82,Home,0
55,"Tue, Nov 3, 2015",Atlanta Hawks,98,Away,1
55,"Tue, Nov 3, 2015",Miami Heat,92,Home,0
56,"Tue, Nov 3, 2015",Orlando Magic,103,Away,1
56,"Tue, Nov 3, 2015",New Orleans Pelicans,94,Home,0
57,"Tue, Nov 3, 2015",Toronto Raptors,102,Away,1
57,"Tue, Nov 3, 2015",Dallas Mavericks,91,Home,0
58,"Tue, Nov 3, 2015",Memphis Grizzlies,103,Away,1
58,"Tue, Nov 3, 2015",Sacramento Kings,89,Home,0
59,"Tue, Nov 3, 2015",Denver Nuggets,120,Away,1
59,"Tue, Nov 3, 2015",Los Angeles Lakers,109,Home,0
60,"Wed, Nov 4, 2015",Boston Celtics,98,Away,0
60,"Wed, Nov 4, 2015",Indiana Pacers,100,Home,1
61,"Wed, Nov 4, 2015",San Antonio Spurs,99,Away,0
61,"Wed, Nov 4, 2015",Washington Wizards,102,Home,1
62,"Wed, Nov 4, 2015",Brooklyn Nets,87,Away,0
62,"Wed, Nov 4, 2015",Atlanta Hawks,101,Home,1
63,"Wed, Nov 4, 2015",New York Knicks,86,Away,0
63,"Wed, Nov 4, 2015",Cleveland Cavaliers,96,Home,1
64,"Wed, Nov 4, 2015",Orlando Magic,114,Away,0
64,"Wed, Nov 4, 2015",Houston Rockets,119,Home,1
65,"Wed, Nov 4, 2015",Philadelphia 76ers,87,Away,0
65,"Wed, Nov 4, 2015",Milwaukee Bucks,91,Home,1
66,"Wed, Nov 4, 2015",Toronto Raptors,103,Away,1
66,"Wed, Nov 4, 2015",Oklahoma City Thunder,98,Home,0
67,"Wed, Nov 4, 2015",Sacramento Kings,97,Away,0
67,"Wed, Nov 4, 2015",Phoenix Suns,118,Home,1
68,"Wed, Nov 4, 2015",Portland Trail Blazers,108,Away,1
68,"Wed, Nov 4, 2015",Utah Jazz,92,Home,0
69,"Wed, Nov 4, 2015",Los Angeles Clippers,108,Away,0
69,"Wed, Nov 4, 2015",Golden State Warriors,112,Home,1
70,"Thu, Nov 5, 2015",Oklahoma City Thunder,98,Away,0
70,"Thu, Nov 5, 2015",Chicago Bulls,104,Home,1
71,"Thu, Nov 5, 2015",Miami Heat,96,Away,1
71,"Thu, Nov 5, 2015",Minnesota Timberwolves,84,Home,0
72,"Thu, Nov 5, 2015",Charlotte Hornets,108,Away,1
72,"Thu, Nov 5, 2015",Dallas Mavericks,94,Home,0
73,"Thu, Nov 5, 2015",Utah Jazz,96,Away,1
73,"Thu, Nov 5, 2015",Denver Nuggets,84,Home,0
74,"Thu, Nov 5, 2015",Memphis Grizzlies,96,Away,0
74,"Thu, Nov 5, 2015",Portland Trail Blazers,115,Home,1
75,"Fri, Nov 6, 2015",Toronto Raptors,87,Away,0
75,"Fri, Nov 6, 2015",Orlando Magic,92,Home,1
76,"Fri, Nov 6, 2015",Washington Wizards,98,Away,0
76,"Fri, Nov 6, 2015",Boston Celtics,118,Home,1
77,"Fri, Nov 6, 2015",Los Angeles Lakers,104,Away,1
77,"Fri, Nov 6, 2015",Brooklyn Nets,98,Home,0
78,"Fri, Nov 6, 2015",Philadelphia 76ers,102,Away,0
78,"Fri, Nov 6, 2015",Cleveland Cavaliers,108,Home,1
79,"Fri, Nov 6, 2015",Milwaukee Bucks,99,Away,1
79,"Fri, Nov 6, 2015",New York Knicks,92,Home,0
80,"Fri, Nov 6, 2015",Miami Heat,87,Away,0
